Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0192484046446927,0.00249628426083394,0.0894284213937917,0,0,0,1.04578482691312,0.00406465902676324,7.57272689961396E-08,8.93044145248673E-05,0.00438157067795783,4.93496965835154E-08,0.000495755047981349,0,0,0,0,0,0,package://Pikachu_V01/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/base_link.STL,,Arm_Asm_0113-2/DM4340P_Motor_V0_2_0113-1;(Reverse)Main_Body_Side_Board_V0_1_0113-1;Main_Body_Side_Board_V0_1_0113-1;Body_Standoff_Asm_0113-6/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-5/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-6/Stand_off_ABS_3.2_5_18_0113-1;Body_Standoff_Asm_0113-5/Stand_off_ABS_3.2_5_18_0113-1;Arm_Asm_0113-3/DM4340P_Motor_V0_2_0113-1;Body_Standoff_Asm_0113-4/Stand_off_ABS_3.2_5_18_0113-1;Body_Standoff_Asm_0113-4/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-3/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-3/Stand_off_ABS_3.2_5_18_0113-1;Body_Standoff_Asm_0113-1/Stand_off_ABS_3.2_5_18_0113-1;Body_Standoff_Asm_0113-1/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-2/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-2/Stand_off_ABS_3.2_5_18_0113-1;Body_Standoff_Asm_0113-8/Stand_off_ABS_3.2_5_18_0113-1;Body_Standoff_Asm_0113-8/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-7/Stand_off_ABS_3.2_5_19_0113-1;Body_Standoff_Asm_0113-7/Stand_off_ABS_3.2_5_18_0113-1;Tail_Asm_0113-1/DM3507_Motor_V0_1_0113-1;(mirror)Leg_Asm_0113-2/DM4340P_Motor_V0_2_0113-1;Leg_Asm_0113-3/DM4340P_Motor_V0_2_0113-1;Leg_Asm_0113-3/KneeM_Hip_PitchM_Limiter_Board_V0_1_0113-3;Leg_Asm_0113-3/KneeM_Hip_PitchM_Limiter_Board_V0_1_0113-2;(mirror)Leg_Asm_0113-2/KneeM_Hip_PitchM_Limiter_Board_V0_1_0113-2;(mirror)Leg_Asm_0113-2/KneeM_Hip_PitchM_Limiter_Board_V0_1_0113-3,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Tail_Link,0.0870617396901829,-4.35242120122581E-15,-0.00149999999999541,0,0,0,0.0553404878609228,9.04099512803402E-06,-1.83162226476631E-19,-2.79463308749071E-09,0.000211829519933132,-4.40283733453099E-22,0.000220787767309185,0,0,0,0,0,0,package://Pikachu_V01/meshes/Tail_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Tail_Link.STL,,Tail_Asm_0113-1/Arm_Length_Board_V0_1_0113-1,tail_frame,t_joint,Tail_Joint,continuous,0.0650000000000004,-0.0254499999999994,-0.0399999999999994,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
Larm_Link,0.0878069289406275,2.53963516883005E-15,-0.000598829402875797,0,0,0,0.132785524737081,1.2427673117168E-05,-2.78389217568015E-19,4.53316698434714E-06,0.000345424824733934,-5.74983379271417E-20,0.000351210846077783,0,0,0,0,0,0,package://Pikachu_V01/meshes/Larm_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Larm_Link.STL,,Arm_Asm_0113-2/Arm_Strength_Board_V0_1_0113-1;Arm_Asm_0113-2/Arm_Length_Board_V0_1_0113-1;Arm_Asm_0113-2/Arm_Strength_Board_V0_1_0113-2;Arm_Asm_0113-2/Board_Connector_M3_6x6x40_0113-4;Arm_Asm_0113-2/Board_Connector_M3_6x6x40_0113-6;Arm_Asm_0113-2/Board_Connector_M3_6x6x40_0113-2;Arm_Asm_0113-2/Board_Connector_M3_6x6x40_0113-1;Arm_Asm_0113-2/Board_Connector_M3_6x6x40_0113-5;Arm_Asm_0113-2/Board_Connector_M3_6x6x40_0113-3,larm_frame,fl_joint,Larm_Joint,continuous,0.0199999999999998,0.0809500000000004,0.205,1.57079632679491,1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
Rarm_Link,0.0846982522182745,9.91914883563538E-15,-0.000310298603530816,0,0,0,0.126051829781318,1.2384811107529E-05,-2.44511861378506E-19,4.53316698434715E-06,0.000344497548934873,1.38104631583323E-21,0.000350283570278722,0,0,0,0,0,0,package://Pikachu_V01/meshes/Rarm_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Rarm_Link.STL,,Arm_Asm_0113-3/Arm_Strength_Board_V0_1_0113-2;Arm_Asm_0113-3/Arm_Length_Board_V0_1_0113-1;Arm_Asm_0113-3/Arm_Strength_Board_V0_1_0113-1;Arm_Asm_0113-3/Board_Connector_M3_6x6x40_0113-2;Arm_Asm_0113-3/Board_Connector_M3_6x6x40_0113-1;Arm_Asm_0113-3/Board_Connector_M3_6x6x40_0113-6;Arm_Asm_0113-3/Board_Connector_M3_6x6x40_0113-4,rarm_frame,fr_joint,Rarm_joint,continuous,0.0200000000000008,-0.0809500000000023,0.205,1.57079632679488,1.5707963267949,0,base_link,0,0,-1,,,,,,,,,,,,
Lhip1_Link,0.047164678756401,2.29594481931938E-06,-0.0231109660173988,0,0,0,0.240283091885992,0.00010567950313822,-4.2133249829825E-09,6.46372820114992E-06,0.000101402141671189,1.85268466575085E-08,9.44386949645436E-05,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lhip1_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lhip1_Link.STL,,(mirror)Leg_Asm_0113-2/Hip_PitchM_YawM_Conn_Board_V0.1_0113-1;(mirror)Leg_Asm_0113-2/DM4340P_Motor_V0_2_0113-2;(mirror)Leg_Asm_0113-2/Board_Connector_M3_6x6x40_0113-8;(mirror)Leg_Asm_0113-2/Board_Connector_M3_6x6x40_0113-7;(mirror)Leg_Asm_0113-2/Board_Connector_M3_6x6x40_0113-10;(mirror)Leg_Asm_0113-2/Board_Connector_M3_6x6x40_0113-3;(mirror)Leg_Asm_0113-2/System_Elevation_Block_FDM_0113-3,lhip1_frame,lhip1_joint,Lhip1_Joint,continuous,0,0.0876999999999957,0,1.5707963267949,0,-3.14159265358979,base_link,0,0,-1,,,,,,,,,,,,
Lhip2_Link,-0.000131578086186634,-0.0490802035731037,-0.0331680910493352,0,0,0,0.237453317125622,0.000101281549043641,-6.8514958635205E-07,1.85145788731389E-08,7.76647350889941E-05,2.62593565762734E-09,9.55481869242956E-05,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lhip2_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lhip2_Link.STL,,(mirror)Leg_Asm_0113-2/Hip_YawM_RollM_Conn_Board_V0_1_0113-1;(mirror)Leg_Asm_0113-2/DM4340P_Motor_V0_2_0113-3;(mirror)Leg_Asm_0113-2/Board_Connector_M3_6x6x40_0113-5;(mirror)Leg_Asm_0113-2/Board_Connector_M3_6x6x40_0113-6;(mirror)Leg_Asm_0113-2/Standoff_Brass_M3_4.6_60_0113-2;(mirror)Leg_Asm_0113-2/Standoff_Brass_M3_4.6_60_0113-1;(mirror)Leg_Asm_0113-2/Standoff_Brass_M3_4.6_60_0113-3;(mirror)Leg_Asm_0113-2/Standoff_Brass_M3_4.6_60_0113-4,lhip2_frame,lhip2_joint,Lhip2_Joint,continuous,-0.0329999999998985,0,-0.0319999999999964,3.14159265358979,-1.5707963267949,0,Lhip1_Link,0,0,-1,,,,,,,,,,,,
Lhip3_Link,0.000144543412276071,0.00699444045574775,0.0299012718928228,0,0,0,0.329226275444801,0.000165210009097068,-4.1385643884938E-08,-2.09202321652619E-08,0.00028952765917931,-2.31177553373063E-05,0.000242730535126742,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lhip3_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lhip3_Link.STL,,(mirror)Leg_Asm_0113-2/Hip_Knee_Motor_Conn_Sheet_Metal_V0_1_0113-1;(mirror)Leg_Asm_0113-2/DM4340P_Motor_V0_2_0113-4;(mirror)Leg_Asm_0113-2/KneeM_Hip_PitchM_Limiter_Board_V0_1_0113-1,lhip3_frame,lhip3_joint,Lhip3_Joint,continuous,0,-0.110499999999992,-0.0329999999999931,1.5707963267949,-1.5707963267949,0,Lhip2_Link,0,0,-1,,,,,,,,,,,,
Lknee_Link,3.37502306571313E-05,0.077992676193935,-0.0226477099160689,0,0,0,0.244244092244912,0.000245577470764647,1.66562184227726E-08,5.58630980233458E-08,7.48320707718784E-05,-4.77786293220377E-09,0.000277378356507274,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lknee_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lknee_Link.STL,,(mirror)Leg_Asm_0113-2/DM4340P_Motor_V0_2_0113-5;(mirror)Leg_Asm_0113-2/Calf_KneeM_End_Face_Board_V0_1_0113-1;(mirror)Leg_Asm_0113-2/Calf_Infill_FDM_V0_1_0113-1;(mirror)Leg_Asm_0113-2/Calf_KneeM_End_Face_Board_V0_1_0113-2,lknee_frame,lknee_joint,Lknee_Joint,continuous,0,-0.0402500000000001,0.038000000000008,1.5707963267949,0,0,Lhip3_Link,0,0,-1,,,,,,,,,,,,
Lankle_Link,2.56045185054177E-15,-0.0216454714513506,-0.000820902399707418,0,0,0,0.0747132228410603,1.1514920427946E-05,-1.01775711193375E-20,2.00903568573958E-23,5.85049657387164E-05,-2.21029114274286E-09,6.99080833258092E-05,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lankle_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Lankle_Link.STL,,(mirror)Leg_Asm_0113-2/Foot_Board_V0_1_0113-1;(mirror)Leg_Asm_0113-2/Foot_Board_V0_1_0113-2;(mirror)Leg_Asm_0113-2/Foot_Board_V0_1_0113-4;(mirror)Leg_Asm_0113-2/Foot_Board_V0_1_0113-3,lankle_frame,lankle_joint,Lankle_Joint,continuous,0,0.1,0.00775000000000223,0,0,3.14159265358979,Lknee_Link,0,0,-1,,,,,,,,,,,,
Rhip1_Link,0.0471646787563882,2.29594481299805E-06,-0.0231109660173988,0,0,0,0.240283091885992,0.00010567950313822,-4.21332498298585E-09,6.46372820114996E-06,0.000101402141671189,1.85268466575149E-08,9.44386949645438E-05,0,0,0,0,0,0,package://Pikachu_V01/meshes/Rhip1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Pikachu_V01/meshes/Rhip1_Link.STL,,Leg_Asm_0113-3/DM4340P_Motor_V0_2_0113-2;Leg_Asm_0113-3/Hip_PitchM_YawM_Conn_Board_V0.1_0113-1;Leg_Asm_0113-3/Board_Connector_M3_6x6x40_0113-3;Leg_Asm_0113-3/Board_Connector_M3_6x6x40_0113-1;Leg_Asm_0113-3/Board_Connector_M3_6x6x40_0113-2;Leg_Asm_0113-3/Board_Connector_M3_6x6x40_0113-4;Leg_Asm_0113-3/System_Elevation_Block_FDM_0113-3,rhip1_frame,rhip1_joint,Rhip1_joint,continuous,0,-0.0877000000000044,0,-1.5707963267949,0,-3.14159265358979,base_link,0,0,-1,,,,,,,,,,,,
